"",".rownames","price_3_nights","neigh_simp","number_of_reviews","reviews_per_month",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid","obs_num"
"142","144",241.6,"Unincorporated Areas",46,0.7,1164.15072882621,-922.550728826207,0.00515573995110226,843.650509313207,0.00103773184852176,-1.09610017049215,142
"143","145",453,"Unincorporated Areas",7,0.11,1240.98321912117,-787.98321912117,0.00640051308303815,843.962469881496,0.000942214614930951,-0.936804197208902,143
"144","146",2189.5,"City of Santa Cruz",33,0.51,1007.16866481693,1182.33133518307,0.00706339833078993,842.902799516351,0.00234408245467739,1.40609925485063,144
"145","147",2265,"City of Santa Cruz",11,0.19,1050.69347538115,1214.30652461885,0.0077860887947511,842.79680484392,0.00272953842258795,1.44465189291618,145
"146","149",1005.66,"City of Santa Cruz",234,3.68,613.034560506928,392.625439493072,0.0248380494694774,844.593681363945,0.000942420425603378,0.471169966986389,146
"147","150",1283.5,"Unincorporated Areas",77,1.29,1104.81009994733,178.689900052672,0.00513864933446105,844.763947046955,3.88014273192456e-05,0.212303065229283,147
"148","152",253.68,"Unincorporated Areas",214,3.39,835.303840362547,-581.623840362547,0.0188581914394259,844.341290251276,0.00155111751191524,-0.695847140293918,148
"149","153",1057,"Unincorporated Areas",7,0.11,1240.98321912117,-183.98321912117,0.00640051308303815,844.761281047867,5.13655952630168e-05,-0.218730865970653,149
"150","154",667.42,"Unincorporated Areas",79,1.42,1102.29686922737,-434.876869227371,0.00508657311645474,844.550424191338,0.000227463203287694,-0.516667567660179,150
"151","155",1174.78,"Unincorporated Areas",164,2.69,934.614018491185,240.165981508815,0.0115097036469491,844.728465449689,0.000159025265705674,0.286261422169837,151
"152","156",196.3,"Unincorporated Areas",206,3.31,851.651249696129,-655.351249696129,0.0175526746586683,844.216396185525,0.00182808693123177,-0.783532531915268,152
"153","157",600.98,"Unincorporated Areas",294,4.85,681.271476707353,-80.2914767073531,0.0372659586237178,844.798268360257,6.0668374347753e-05,-0.0969736672402206,153
"154","158",1162.7,"Unincorporated Areas",55,0.9,1147.33351493937,15.3664850606349,0.00495600007306432,844.806996127624,2.76642968348556e-07,0.0182553823606065,154
"155","159",567.76,"City of Capitola",190,3.25,903.385445462936,-335.625445462936,0.0289823309967427,844.650547440224,0.000810424631206631,-0.403625737410837,155
"156","160",389.58,"Unincorporated Areas",30,0.53,1196.70249098306,-807.122490983059,0.0052662866753286,843.921920027292,0.000811509385725731,-0.959010956771802,156
"157","161",1057,"Unincorporated Areas",1,0.19,1255.24656726573,-198.246567265733,0.00621484222709363,844.753876251347,5.7886897484535e-05,-0.235666016646622,157
"158","162",594.94,"City of Capitola",67,1.14,1142.13789105926,-547.197891059259,0.0171831654171282,844.395541456964,0.00124672495678798,-0.654102275199374,158
"159","163",634.2,"Unincorporated Areas",62,1.36,1138.60873567467,-504.408735674672,0.00463357286335288,844.46184765863,0.000278508878893818,-0.599140453082636,159
"160","164",217.44,"City of Santa Cruz",4,0.42,1069.28915385742,-851.849153857415,0.00759801525502708,843.818694987129,0.00131031023011621,-1.013342885075,160
"161","165",1165.72,"City of Capitola",70,1.23,1136.86595162104,28.8540483789591,0.0171967611370949,844.806172104273,3.46937175377915e-06,0.0344914144328039,161
"162","166",211.4,"Unincorporated Areas",162,2.77,940.131435927707,-728.731435927707,0.0113878535079859,844.081154007353,0.00144826762609606,-0.868544494449405,162
